quiz,answer,wrong1,wrong2,wrong3
2×7,14,12,15,13
9×7,63,64,62,65
9-3,6,8,7,5
4×6,24,25,23,22
2×1,2,1,4,3
7+5,12,11,13,14
5×2,10,11,8,9
8+5,13,11,12,14
3×6,18,19,17,16
6-5,1,3,4,2
1×4,4,3,6,5
3+3,6,8,5,7
5×4,20,19,18,21
8+6,14,15,13,12
7×9,63,64,61,62
4×6,24,25,26,23
6×5,30,32,31,29
1×4,4,6,3,5
5×1,5,6,4,7
7×8,56,57,58,55
7×1,7,6,8,5
2+5,7,6,8,5
7+1,8,7,9,10
9+5,14,13,15,16
2×1,2,3,4,1
6+7,13,15,12,14
3×8,24,23,25,22
7×6,42,44,41,43
3×3,9,8,7,10
3+8,11,13,10,12
2×4,8,9,10,7
1×1,1,2,3,4
7-4,3,1,2,4
2×8,16,14,17,15
1+5,6,5,4,7
6+2,8,10,9,7
5+3,8,9,7,6
1+3,4,3,2,5
9×9,81,79,80,82
5×9,45,44,43,46
5+5,10,12,9,11
1+3,4,3,2,5
4+1,5,3,6,4
8-6,2,1,4,3
6×2,12,10,11,13
2×1,2,3,1,4
8×1,8,10,7,9
6×1,6,4,5,7
8×5,40,38,39,41
9+4,13,14,15,12
2×1,2,4,1,3
6+3,9,11,10,8
9×6,54,52,55,53
8+8,16,14,17,15
3×6,18,17,16,19
3×7,21,23,22,20
6×5,30,32,29,31
9-2,7,6,9,8
8-2,6,4,5,7
1+4,5,4,6,7
3×6,18,17,20,19
1×4,4,2,5,3
2×4,8,7,10,9
5-2,3,2,5,4
3×9,27,29,26,28
7-2,5,7,6,4
7+4,11,9,12,10
9+8,17,19,18,16
8+2,10,9,12,11
5×5,25,24,26,23
5×4,20,18,21,19
4+1,5,6,3,4
8×1,8,9,10,7
5+7,12,13,10,11
2+6,8,7,10,9
5×9,45,43,44,46
9-1,8,9,10,7
5+2,7,5,8,6
5×1,5,7,6,4
8+6,14,15,13,16
2×5,10,9,12,11
6-2,4,5,6,3
1×7,7,5,6,8
7-2,5,6,7,4
3×8,24,25,22,23
5-1,4,2,3,5
2×2,4,5,6,3
3×7,21,20,22,23
5+9,14,13,16,15
9-6,3,5,4,2
8+8,16,17,14,15
4×9,36,37,35,34
7+8,15,14,17,16
9×6,54,55,53,56
3+3,6,4,7,5
9×9,81,80,82,79
6×6,36,38,35,37
5-2,3,4,5,2
1+6,7,8,9,6
9+6,15,16,14,17
9×8,72,73,70,71
2×4,8,7,6,9
1+5,6,7,5,8
8+1,9,8,7,10
9-8,1,2,3,4
2×8,16,15,14,17
9+2,11,9,10,12
8-4,4,5,3,6
7-4,3,2,4,1
8×1,8,10,7,9
2+6,8,7,10,9
3+9,12,14,11,13
1×9,9,10,7,8
1+6,7,9,6,8
6+5,11,12,9,10
5-4,1,3,4,2
9-5,4,3,5,2
4+1,5,6,4,7
9×6,54,55,56,53
5×4,20,21,19,18
5×8,40,42,41,39
6×9,54,55,52,53
2×6,12,10,13,11
7+4,11,12,13,10
6×5,30,31,32,29
5×1,5,6,4,7
4-1,3,1,4,2
8-7,1,3,2,4
2+9,11,10,13,12
4+4,8,6,7,9
7+2,9,10,8,11
9+5,14,15,12,13
9×4,36,38,35,37
2×4,8,9,6,7
4+6,10,12,9,11
6-2,4,5,6,3
6+1,7,8,5,6
6+2,8,9,7,10
4+5,9,7,10,8
7+3,10,9,12,11
1×8,8,9,7,10
7×6,42,41,43,44
6+7,13,12,14,15
4+3,7,9,6,8
3×8,24,22,25,23
9+2,11,9,12,10
7×2,14,13,16,15
7-5,2,4,1,3
9-1,8,6,9,7
8×1,8,7,6,9
9+6,15,16,17,14
5+8,13,11,14,12
4×4,16,15,14,17
6+8,14,12,13,15
5×9,45,46,44,47
8×9,72,74,73,71
4×5,20,19,21,22
9-5,4,3,2,5
8×4,32,33,31,34
8-1,7,6,8,9
6-3,3,4,2,5
4×2,8,6,7,9
3×1,3,4,1,2
9+6,15,16,14,17
8+6,14,12,15,13
9×5,45,47,46,44
4×2,8,7,6,9
7+2,9,10,8,11
1×5,5,4,6,3
1×1,1,3,2,4
1+4,5,6,3,4
6×6,36,38,35,37
1×2,2,4,3,1
8+4,12,13,11,14
4×8,32,33,31,34
2+1,3,4,2,1
6×5,30,31,29,28
3+6,9,10,11,8
2×8,16,15,18,17
6-4,2,1,3,4
8×8,64,65,66,63
3+8,11,12,10,13
3×4,12,10,13,11
3+1,4,6,3,5
3+7,10,9,8,11
5+7,12,13,11,10
7+2,9,10,7,8
2+2,4,5,6,3
6×3,18,20,17,19
6+3,9,10,7,8
7×1,7,8,9,6
3-2,1,2,4,3
1+9,10,8,11,9
5+2,7,9,8,6
5-3,2,1,3,4
2+3,5,6,3,4
9×4,36,35,37,38
3×4,12,10,11,13
3+9,12,13,14,11
5×6,30,29,31,32
3+4,7,8,5,6
6×1,6,5,7,4
7+9,16,17,15,14
4×7,28,27,26,29
4-3,1,4,3,2
1×8,8,9,6,7
1×2,2,1,4,3
3+7,10,8,9,11
9-7,2,1,3,4
9×6,54,52,55,53
5×7,35,34,36,33
8+3,11,10,9,12
9-7,2,3,1,4
8+3,11,9,12,10
3+6,9,7,10,8
5+2,7,8,6,9
9+3,12,10,13,11
8×9,72,73,71,74
9-6,3,2,1,4
9+4,13,15,14,12
9-6,3,2,4,1
8+7,15,17,16,14
7×1,7,6,9,8
1+9,10,12,9,11
8-4,4,5,2,3
9+7,16,17,14,15
9×9,81,83,82,80
7-1,6,4,7,5
2+8,10,8,9,11
3+2,5,4,3,6
1+7,8,7,10,9
4×3,12,11,13,10
8-7,1,3,4,2
5×8,40,41,42,39
9+2,11,9,12,10
9+1,10,9,11,8
1×9,9,8,11,10
1×3,3,5,4,2
9-2,7,5,6,8
4+6,10,11,12,9
9×5,45,46,43,44
5×1,5,6,4,3
6×8,48,49,47,50
9+8,17,16,18,15
6×6,36,35,37,34
2×2,4,5,3,6
6×9,54,55,52,53
2×5,10,12,9,11
9-1,8,9,7,10
1×4,4,5,2,3
5+2,7,9,8,6
7+7,14,15,13,12
2×3,6,7,4,5
7×7,49,51,50,48
9×5,45,44,43,46
6×8,48,49,47,50
8×5,40,42,41,39
5+4,9,7,8,10
5+4,9,8,10,11
5+3,8,10,7,9
9+8,17,18,16,19
6+7,13,11,12,14
5-1,4,2,5,3
5×6,30,29,31,32
6-5,1,2,3,4
7×9,63,64,65,62
4×6,24,25,23,26
7×3,21,19,20,22
6+7,13,15,14,12
9-4,5,4,7,6
4-3,1,3,2,4
5×4,20,21,22,19
1+4,5,6,4,3
8×4,32,31,30,33
5×4,20,18,21,19
7-3,4,2,5,3
7+9,16,15,18,17
6×5,30,28,29,31
8×3,24,26,23,25
2+5,7,5,8,6
5-2,3,2,5,4
8×6,48,49,50,47
3+7,10,8,11,9
1×8,8,6,7,9
5×5,25,23,26,24
7×8,56,55,54,57
4-1,3,1,2,4
5+8,13,15,12,14
2×2,4,6,5,3
9+1,10,11,8,9
4×2,8,6,9,7
4+4,8,9,10,7
3+9,12,10,13,11
9-4,5,3,4,6
9×7,63,64,65,62
2×2,4,5,3,6
4×9,36,35,37,38
5+4,9,8,10,11
4+6,10,8,9,11
8+1,9,11,8,10
5×6,30,31,28,29
9-5,4,5,2,3
6×2,12,13,11,10
4+5,9,10,8,7
4×7,28,29,27,30
7+2,9,8,7,10
3×6,18,17,19,16
4×7,28,30,27,29
5×3,15,16,17,14
5+5,10,12,9,11
1+4,5,6,7,4
7×3,21,22,20,19
6×3,18,16,19,17
3+2,5,6,4,7
5×5,25,24,26,27
5×3,15,16,13,14
3×1,3,5,2,4
6×2,12,11,10,13
7×3,21,22,23,20
3×2,6,5,4,7
8×9,72,70,73,71
6-3,3,4,2,5
7+7,14,13,15,16
4×4,16,17,18,15
9×8,72,73,70,71
9×2,18,17,20,19
7+4,11,12,10,9
9×6,54,55,52,53
3+3,6,7,8,5
4+5,9,7,10,8
2+7,9,11,10,8
6+1,7,9,8,6
4+5,9,11,10,8
8+5,13,15,14,12
6+1,7,8,6,9
5×2,10,11,12,9
2+2,4,6,3,5
7+9,16,17,15,14
6+7,13,14,15,12
8×3,24,22,23,25
8×6,48,49,47,50
7+9,16,14,15,17
9×3,27,26,29,28
9+3,12,11,10,13
2+9,11,12,10,13
6-5,1,3,2,4
9+3,12,11,10,13
6×7,42,41,43,40
7+5,12,13,14,11
7+8,15,16,17,14
8×4,32,30,31,33
5-4,1,4,3,2
8-5,3,2,4,5
5+4,9,10,7,8
8-2,6,7,4,5
9+6,15,14,16,17
7×5,35,34,33,36
5+2,7,6,8,9
6×9,54,53,56,55
3×4,12,14,11,13
6×5,30,29,31,32
8-7,1,4,3,2
1+4,5,7,6,4
1+8,9,7,10,8
8×2,16,15,17,18
6×8,48,50,49,47
6-4,2,4,1,3
4+3,7,8,9,6
3×7,21,20,23,22
2×7,14,15,13,12
2+6,8,6,9,7
1+9,10,9,8,11
4+8,12,13,11,10
2-1,1,2,3,4
1+6,7,8,6,9
1×2,2,4,3,1
9×5,45,44,47,46
7+9,16,15,18,17
8+5,13,14,11,12
9-7,2,3,4,1
3+5,8,9,10,7
4+3,7,5,6,8
2×8,16,17,15,14
1×3,3,1,2,4
9+7,16,18,17,15
2×1,2,4,3,1
9-3,6,7,5,4
7×1,7,5,8,6
5×5,25,24,26,27
1+5,6,7,8,5
8+1,9,7,10,8
5+5,10,9,12,11
8×2,16,18,17,15
1+8,9,10,8,7
9×5,45,46,44,43
7+1,8,7,9,10
5×6,30,29,28,31
7×4,28,27,30,29
7×8,56,57,54,55
2+6,8,7,9,6
6×9,54,55,56,53
2+8,10,11,12,9
6+9,15,16,14,13
6×6,36,37,34,35
4×8,32,34,33,31
7×3,21,20,19,22
1×3,3,2,1,4
6-3,3,5,4,2
7×5,35,33,36,34
4+7,11,12,10,9
2+2,4,6,3,5
3×3,9,8,7,10
9×2,18,17,19,16
6+5,11,12,10,9
4+2,6,5,8,7
5×2,10,12,9,11
1+9,10,9,11,8
9×2,18,16,17,19
8×7,56,54,55,57
6+8,14,13,15,16
1+4,5,7,6,4
9-5,4,5,3,6
3+7,10,8,9,11
5×4,20,22,21,19
8+2,10,12,9,11
5+4,9,8,7,10
6+3,9,10,8,7
2×3,6,7,5,8
6×6,36,37,38,35
3×3,9,11,8,10
8×5,40,41,39,42
8×5,40,38,39,41
5+5,10,8,9,11
8+6,14,15,16,13
9-6,3,2,4,1
3×9,27,28,29,26
5+7,12,13,11,14
9+1,10,9,11,12
2+5,7,8,9,6
9-4,5,4,6,7
1×6,6,7,8,5
2+5,7,5,8,6
8-2,6,7,8,5
3+4,7,8,6,5
5+5,10,11,8,9
8+4,12,10,13,11
2+2,4,6,3,5
4-3,1,3,2,4
9×5,45,46,44,47
1×6,6,8,5,7
7+6,13,11,14,12
7+4,11,10,13,12
3+7,10,8,11,9
4-3,1,4,3,2
4×4,16,14,17,15
4+7,11,12,10,9
9+9,18,19,17,20
2+4,6,7,8,5
3+5,8,7,9,10
4-1,3,1,2,4
1×3,3,2,5,4
8-6,2,4,1,3
3+5,8,7,10,9
1×8,8,7,10,9
8-6,2,4,3,1
9+8,17,18,15,16
8-7,1,4,2,3
6-2,4,6,5,3
1×8,8,10,9,7
6+4,10,12,9,11
7-1,6,5,7,4
1+3,4,5,2,3
7×7,49,51,48,50
5+3,8,7,9,6
3+2,5,6,3,4
1×7,7,6,8,5
7+2,9,10,8,7
6×8,48,46,49,47
5×2,10,12,9,11
2+4,6,7,4,5
6+5,11,10,12,9
7+4,11,10,13,12
7+6,13,11,12,14
4+7,11,13,10,12
5×5,25,24,26,23
7-2,5,4,6,3
6+5,11,12,10,13
8-6,2,1,3,4
5+9,14,13,16,15
1+9,10,12,11,9
3×4,12,14,13,11
8×3,24,26,25,23
7×2,14,13,15,12
2×1,2,1,4,3
2+9,11,13,12,10
4+1,5,3,4,6
7-2,5,6,7,4
7×2,14,15,16,13
4-2,2,1,4,3
9×5,45,44,43,46
9+2,11,12,9,10
9×8,72,73,71,74
7×4,28,27,29,30
9×9,81,82,79,80
5×2,10,9,11,8
1+7,8,6,7,9
2+9,11,13,10,12
8×4,32,31,34,33
3-2,1,4,3,2
5+5,10,12,9,11
6-4,2,3,1,4
6+7,13,12,14,15
7+5,12,11,13,14
3-2,1,4,2,3
9×8,72,73,70,71
6×2,12,10,13,11
8+8,16,15,17,18
7×8,56,57,54,55
6-3,3,1,2,4
1×4,4,5,2,3
2×2,4,2,5,3
8×5,40,41,38,39
6+8,14,13,15,12
7+7,14,16,13,15
5×4,20,21,18,19
8×6,48,50,49,47
6×5,30,29,28,31
4+6,10,8,9,11
3×8,24,26,25,23
9-1,8,7,9,10
8+8,16,15,18,17
4×5,20,22,21,19
8×8,64,65,63,62
9+1,10,11,8,9
4-2,2,3,1,4
6×8,48,47,46,49
1+3,4,6,3,5
8×2,16,18,15,17
2+7,9,7,10,8
5×4,20,19,18,21
7×4,28,27,30,29
3+3,6,5,7,4
3+5,8,7,9,10
7-1,6,4,7,5
7-2,5,3,4,6
7-5,2,1,4,3
4×3,12,11,13,10
4+6,10,12,9,11
1+8,9,8,11,10
5-4,1,3,2,4
2+3,5,6,7,4
1×4,4,2,3,5
7+4,11,10,12,13
2×8,16,17,15,18
2×3,6,4,5,7
1×5,5,6,4,7
8-6,2,1,4,3
8-3,5,6,3,4
8+1,9,11,8,10
5×4,20,21,18,19
4+5,9,7,10,8
3+8,11,12,9,10
9×7,63,62,61,64
4×2,8,7,9,10
9×8,72,73,74,71
9-1,8,9,10,7
7-6,1,2,4,3
3×2,6,4,5,7
6+9,15,14,13,16
4+2,6,8,5,7
5+3,8,9,6,7
4×1,4,3,5,2
3+5,8,10,9,7
5×4,20,21,19,22
6+6,12,11,13,14
9+9,18,16,19,17
3+5,8,10,7,9
3+4,7,5,6,8
4+5,9,10,11,8
4×4,16,18,17,15
6+8,14,15,13,16
9+2,11,10,13,12
3×6,18,19,20,17
8+8,16,18,17,15
5+2,7,6,9,8
3+7,10,12,9,11
4+9,13,14,11,12
5-1,4,5,3,6
2×1,2,1,4,3
2+5,7,8,5,6
8-6,2,4,1,3
2×8,16,17,15,14
5×8,40,41,39,42
8-2,6,7,5,4
4×9,36,34,37,35
9+9,18,16,17,19
5+4,9,8,10,11
9-1,8,9,7,10
1+4,5,3,4,6
1×7,7,9,8,6
2×9,18,16,17,19
4-1,3,4,2,1
2×8,16,17,15,14
7-6,1,3,4,2
6+4,10,12,9,11
6×8,48,47,49,46
1×4,4,5,3,6
5+1,6,7,8,5
9+1,10,11,9,12
9+9,18,20,19,17
3+9,12,13,14,11
3+1,4,2,5,3
6+6,12,14,13,11
1×3,3,4,2,1
9-7,2,1,3,4
3×2,6,5,7,8
1+2,3,1,4,2
4+4,8,7,6,9
5×4,20,18,19,21
3+2,5,4,6,7
3-1,2,4,3,1
5+1,6,4,5,7
5-1,4,3,6,5
5+2,7,5,8,6
5+1,6,8,7,5
8+5,13,15,14,12
8×5,40,41,39,42
1×8,8,9,7,10
4×3,12,11,14,13
7+9,16,17,15,14
3+5,8,9,6,7
1+6,7,6,5,8
4+7,11,10,12,9
6+7,13,15,12,14
7×4,28,29,27,30
6×8,48,47,50,49
8×7,56,57,54,55
1+7,8,7,10,9
9-3,6,8,7,5
9-1,8,6,9,7
9×1,9,8,10,7
3×5,15,16,17,14
6+6,12,13,10,11
8+5,13,14,15,12
4×2,8,9,6,7
5×4,20,19,21,22
5×4,20,19,18,21
2×6,12,11,13,14
9×9,81,83,82,80
8+1,9,7,10,8
3+3,6,8,7,5
5-4,1,4,2,3
5×4,20,21,19,22
3×6,18,16,17,19
6+4,10,12,9,11
4+3,7,6,8,5
7×3,21,22,20,19
9+9,18,16,19,17
1×5,5,6,7,4
5-3,2,1,4,3
8×5,40,39,41,38
4+6,10,9,11,12
8+2,10,12,9,11
9+2,11,12,9,10
4-3,1,3,2,4
2×1,2,4,3,1
6+1,7,5,8,6
1+3,4,3,5,6
3-2,1,2,4,3
2×8,16,15,18,17
8×4,32,31,33,34
6×4,24,22,25,23
8-2,6,5,7,8
8-2,6,7,5,4
1×5,5,7,6,4
4+1,5,4,3,6
7×9,63,62,65,64
4+7,11,9,12,10
2×3,6,7,4,5
3+6,9,8,10,7
6×2,12,10,13,11
9×4,36,35,38,37
8-4,4,5,6,3
4+7,11,13,12,10
7+6,13,15,12,14
2×8,16,15,18,17
3×9,27,26,28,25
7×2,14,13,16,15
8-6,2,4,1,3
7+8,15,16,14,13
8+9,17,19,18,16
8+3,11,13,12,10
9×9,81,80,79,82
8×5,40,39,41,38
2+4,6,7,5,8
8+8,16,17,14,15
3+8,11,10,12,9
3×3,9,8,7,10
9×4,36,37,35,38
9-4,5,4,7,6
5+9,14,13,16,15
7-4,3,2,4,1
1×3,3,4,1,2
7×1,7,6,5,8
3-2,1,2,3,4
8-3,5,4,3,6
4×4,16,14,17,15
1×9,9,8,10,7
1+8,9,11,8,10
9×9,81,82,80,79
8-3,5,6,3,4
5+7,12,14,13,11
8+9,17,18,16,19
9×6,54,55,52,53
8×1,8,10,9,7
1+2,3,4,2,1
4×1,4,6,3,5
4-1,3,5,4,2
4-2,2,1,3,4
4×1,4,5,3,2
7+3,10,11,12,9
1+2,3,5,4,2
6-1,5,3,4,6
9×8,72,70,73,71
4-2,2,3,1,4
5+3,8,10,9,7
6+4,10,12,11,9
5×2,10,9,11,8
9×7,63,64,61,62
9×2,18,16,19,17
1+1,2,1,4,3
4+7,11,10,12,9
5×3,15,17,14,16
4×1,4,5,3,2
4+7,11,12,10,13
8×2,16,18,15,17
5+8,13,11,12,14
3+5,8,9,10,7
7+5,12,13,10,11
3+2,5,7,4,6
9×6,54,55,53,52
2+9,11,12,10,13
9×2,18,19,16,17
8-3,5,4,7,6
4+2,6,8,5,7
2×7,14,12,15,13
7×6,42,43,41,44
1+1,2,1,4,3
6+3,9,8,10,7
7+5,12,13,14,11
9+7,16,17,14,15
8×6,48,49,46,47
6×3,18,16,19,17
5+2,7,6,8,5
8-4,4,2,3,5
4×3,12,10,13,11
6+7,13,12,14,11
2×1,2,3,4,1
7-6,1,2,3,4
6+2,8,10,9,7
7+7,14,13,15,16
6×7,42,43,44,41
1+7,8,6,9,7
6+2,8,6,7,9
8×6,48,49,47,50
9+1,10,8,9,11
5×9,45,44,46,43
4×5,20,19,21,18
6×7,42,44,43,41
3+8,11,12,10,13
9-6,3,4,2,1
