quiz,answer,wrong1,wrong2,wrong3
9-6+2,5,6,4,3
7-2÷2,6,5,7,4
2+2×9,20,19,22,21
8+6-6,8,9,7,10
7×5-4,31,32,30,33
8+1+3,12,14,11,13
4×9+3,39,38,40,37
8×5-7,33,34,31,32
6×2-5,7,6,5,8
2×2×8,32,33,31,30
7-2×3,1,2,3,4
2+3+9,14,13,15,12
7×5-3,32,34,31,33
6×6+4,40,42,39,41
6-1+7,12,10,11,13
1+9×4,37,38,36,39
9-9+1,1,2,4,3
6×7÷6,7,6,9,8
6×3-2,16,17,15,18
9+7-3,13,14,15,12
7-4-1,2,3,4,1
6+3×7,27,29,28,26
6-6+5,5,3,6,4
9-6+1,4,3,5,6
9-6+7,10,8,11,9
1+3×8,25,27,26,24
2-6+7,3,4,5,2
3-1+2,4,3,5,2
2×6-9,3,2,1,4
4-4+9,9,10,8,7
2×2+7,11,10,12,9
6+5×8,46,47,45,48
3×4÷6,2,3,4,1
8×9+9,81,83,82,80
1-2+2,1,3,4,2
7+8×4,39,40,41,38
2×5×8,80,79,78,81
1+3×9,28,27,29,26
9×2×3,54,52,53,55
3-8÷8,2,4,3,1
4×2-3,5,7,4,6
2-5+6,3,4,1,2
1+2×3,7,6,8,5
5×8-6,34,33,32,35
9×6-7,47,48,46,49
8+1+2,11,9,12,10
1+9+8,18,19,17,16
2×8+5,21,22,23,20
8-3-3,2,4,1,3
1-2+2,1,4,2,3
8÷2-1,3,4,1,2
2+8×9,74,75,73,76
9-4+9,14,13,12,15
7+2+6,15,14,17,16
5+8÷2,9,7,10,8
3+3×2,9,10,11,8
2×3×7,42,43,40,41
6+9-9,6,8,5,7
3×3+7,16,17,15,18
3×2-2,4,3,5,2
2+9×2,20,21,22,19
6×7+1,43,45,42,44
5+2×8,21,20,19,22
6-7+2,1,3,2,4
6+8+3,17,18,16,15
5+7+8,20,21,18,19
6+2-3,5,4,6,3
8+5-8,5,4,6,7
3×8-5,19,18,20,21
5+3+3,11,10,9,12
4×6+7,31,30,32,29
6+5+5,16,17,18,15
6÷2×5,15,17,14,16
2-6+7,3,1,2,4
6÷3+7,9,8,10,11
3+8÷8,4,3,6,5
8+4-4,8,9,10,7
6÷2÷3,1,2,3,4
5+8+5,18,17,20,19
4+7×5,39,40,37,38
4+4+8,16,17,14,15
7+3×7,28,27,29,26
4-7+5,2,3,4,1
7×8-2,54,53,55,52
8×2-5,11,13,12,10
8×2×4,64,62,63,65
4-2+8,10,11,9,8
2+7-1,8,6,9,7
7+2-1,8,9,6,7
4×7×3,84,86,85,83
1+5×6,31,32,29,30
2+4+3,9,10,8,11
7×4+3,31,29,32,30
5×9-7,38,39,36,37
3×4×5,60,61,59,62
5+9+3,17,19,18,16
8÷2-3,1,2,3,4
6+9+3,18,19,16,17
9×4-1,35,34,36,33
7+2-7,2,1,4,3
6+4×9,42,40,43,41
8×4-3,29,27,28,30
3×4-2,10,12,9,11
8-2×3,2,3,1,4
2+7×7,51,52,53,50
7-6+3,4,5,3,2
9×8+1,73,72,71,74
6×2-9,3,4,2,5
8×5+6,46,45,47,44
7+3+4,14,15,13,12
7×9-9,54,55,56,53
3×9÷9,3,2,1,4
7-7+8,8,6,7,9
9+5+4,18,19,20,17
8×9+1,73,75,72,74
2×2×4,16,17,18,15
4+5×8,44,45,43,46
7+5×2,17,16,18,15
8×6÷6,8,10,7,9
3×6+7,25,26,24,27
8-2+4,10,8,9,11
7×3÷7,3,2,4,5
6×3+6,24,23,22,25
3+9-8,4,3,5,2
8-1+4,11,9,12,10
7×8+9,65,64,63,66
9+8÷8,10,9,11,8
9÷9×3,3,4,2,5
8+6-4,10,11,8,9
8÷2÷2,2,3,4,1
6-4+4,6,7,4,5
5+9+8,22,21,23,24
7×3+4,25,26,27,24
4+8×5,44,45,46,43
1+7+9,17,18,15,16
3+3-3,3,5,2,4
9×4-4,32,33,34,31
4+6+6,16,15,17,14
2+6+2,10,12,11,9
1+8-7,2,1,4,3
4÷2×6,12,13,11,10
8÷8×2,2,4,3,1
6×8÷2,24,22,23,25
5+3-6,2,1,4,3
7×9-2,61,59,60,62
8-5+4,7,8,6,5
4+1+6,11,10,12,13
4×5+4,24,25,22,23
8+6+1,15,17,16,14
4×3+2,14,13,16,15
2+7+5,14,13,16,15
3-1+3,5,3,4,6
6×9+3,57,58,56,55
2+4×5,22,23,21,20
8+7+9,24,26,23,25
5+9+6,20,21,18,19
9×9+8,89,88,91,90
8×4-3,29,30,31,28
2+3+6,11,10,9,12
2+3+5,10,11,9,8
5+5×9,50,52,49,51
7×3-2,19,20,21,18
4×3×8,96,95,94,97
7+6+7,20,18,19,21
7×4-9,19,20,17,18
5+4×5,25,27,26,24
2+4+1,7,5,6,8
8+5-7,6,7,5,4
2+7×9,65,67,64,66
8+4-7,5,3,4,6
6+9-5,10,9,11,12
7×8-4,52,53,50,51
9×8+1,73,72,74,71
9+8+6,23,22,24,25
8×8-7,57,59,58,56
2+2×7,16,17,15,18
2+5+6,13,14,15,12
9+7+2,18,19,16,17
4×7-4,24,23,25,22
2×3+2,8,7,10,9
2+5×3,17,16,18,19
1+9+4,14,15,13,16
1+8×2,17,15,16,18
2×4-1,7,6,9,8
7-4+2,5,6,3,4
6-6+1,1,4,3,2
4×6-5,19,20,21,18
1-1+3,3,5,2,4
6+6-9,3,1,4,2
6÷2+8,11,13,12,10
3-5+8,6,8,7,5
6-9+5,2,4,3,1
7+2×2,11,12,10,9
3+9÷3,6,4,7,5
4+6+9,19,20,17,18
6×2-5,7,9,6,8
8+5-8,5,6,3,4
1+5+5,11,10,12,9
2×8-7,9,7,8,10
1+7×2,15,16,17,14
3-6+7,4,3,6,5
7+9+4,20,19,22,21
5-5÷5,4,5,3,6
3+8×3,27,28,25,26
9-3+6,12,14,11,13
5-2+6,9,11,8,10
3+8-2,9,10,8,7
1-5+6,2,4,1,3
4+6+5,15,16,14,13
3+3-1,5,4,3,6
3-6+9,6,5,7,8
2×5×9,90,92,91,89
4-5+8,7,6,8,5
8+3+1,12,11,13,10
2+4-3,3,1,2,4
7+5×8,47,46,48,45
8+6-4,10,8,11,9
3×8+3,27,28,26,25
7+5+9,21,22,23,20
5+1+6,12,11,14,13
5×3×5,75,76,73,74
3+9-1,11,9,12,10
4+8×4,36,37,35,38
2+2+3,7,8,6,5
4-1+8,11,13,10,12
2×3×6,36,35,34,37
8÷4+8,10,9,12,11
6+3-6,3,4,2,5
4÷2+3,5,3,4,6
7×6-3,39,38,40,37
9+4×6,33,34,35,32
6+7×8,62,61,60,63
2×9×3,54,56,53,55
5×5+5,30,32,31,29
9×6+8,62,60,63,61
9×7+2,65,64,63,66
3-6+4,1,3,2,4
6+1+4,11,12,10,9
6+9×6,60,62,61,59
8-7+4,5,6,4,7
5+2-3,4,3,2,5
8×6-4,44,45,42,43
6+3×7,27,26,29,28
3+9+8,20,21,19,18
9×8+3,75,74,77,76
6+6×9,60,59,61,58
8-2-2,4,5,3,6
5×6+4,34,35,32,33
7+7×9,70,71,68,69
6×6+9,45,44,43,46
9+8+2,19,17,20,18
3×5+5,20,21,19,22
4÷4×5,5,4,7,6
9+4×7,37,38,36,35
3×4×7,84,85,83,82
9×8-5,67,69,68,66
6÷6+5,6,8,5,7
7+1+4,12,13,14,11
3+9-7,5,6,7,4
8×4-1,31,33,30,32
5×6÷2,15,14,16,17
4×4-1,15,16,14,13
8-6+1,3,2,4,5
7×4+8,36,37,35,38
2+7+6,15,16,14,17
6+6-2,10,12,11,9
4-3+2,3,1,4,2
8+8×9,80,79,78,81
6×7-1,41,40,39,42
3+2×3,9,11,8,10
2×8+9,25,26,24,23
4×5-1,19,18,20,21
8-4+5,9,7,8,10
7-2÷2,6,5,7,8
4+2-4,2,4,3,1
7×2+2,16,18,15,17
3×6-1,17,19,18,16
4+6+2,12,13,11,14
5×3-2,13,12,14,15
5×7-8,27,26,28,29
4-2+6,8,9,6,7
4×4+1,17,19,18,16
5×4+5,25,27,26,24
5×6+6,36,37,34,35
5+2+5,12,13,11,14
2-3+2,1,2,3,4
6+8-2,12,10,11,13
3×3+7,16,14,15,17
8-2+1,7,8,6,9
7-7÷7,6,7,5,4
8+8-6,10,12,11,9
6+2×4,14,16,13,15
6×9+1,55,57,54,56
8×2÷4,4,3,5,2
9+6-1,14,16,13,15
5+9+8,22,23,20,21
1+4×4,17,18,19,16
8+9×6,62,63,60,61
8+5-4,9,10,7,8
7+7+3,17,19,16,18
5×9-8,37,38,35,36
9×6÷9,6,4,7,5
4+8-5,7,9,6,8
6×4+9,33,34,35,32
8+5-7,6,5,7,8
3+8×3,27,29,28,26
4+5÷5,5,6,7,4
6+2-3,5,4,7,6
9+2+1,12,14,11,13
2+6×4,26,27,25,28
6×5-2,28,27,30,29
2×2+7,11,9,10,12
7×7-7,42,44,41,43
4×2+7,15,13,16,14
7+8-5,10,11,8,9
3×9-9,18,19,20,17
8+5-8,5,7,6,4
9×8-4,68,70,69,67
7+7+9,23,25,24,22
3-2+4,5,4,6,7
3+6-2,7,9,6,8
9+7+5,21,22,20,23
9×6-8,46,45,47,44
1+8×9,73,72,71,74
2+3+5,10,12,9,11
2-5+6,3,2,5,4
3-3+1,1,3,4,2
5×5-2,23,24,22,21
2×9×2,36,38,35,37
7×2+2,16,15,18,17
3+4×3,15,14,16,17
6×5÷5,6,5,4,7
7×6+8,50,49,52,51
7×8+4,60,62,59,61
2+1-1,2,1,4,3
6×5-7,23,22,21,24
8+2-6,4,3,5,6
4×8+6,38,40,37,39
7-2+1,6,5,7,4
8÷8×7,7,8,9,6
8+7×7,57,55,56,58
2×8×4,64,66,65,63
4-3+8,9,10,8,7
8+6+9,23,22,24,21
6+9-5,10,9,12,11
5×2+5,15,13,14,16
6+2+5,13,12,15,14
3+9×9,84,85,83,82
9-2+5,12,13,10,11
3+5-3,5,3,4,6
9+3-2,10,11,9,8
8×8-9,55,57,56,54
3×2÷2,3,1,4,2
3×8+6,30,29,32,31
7+9+9,25,26,24,27
7-9÷3,4,3,5,2
4×4×5,80,82,81,79
7×2×2,28,30,27,29
7×7+3,52,51,53,50
7-2÷2,6,7,5,8
3+3÷3,4,5,3,2
1+6×7,43,42,45,44
6-1+8,13,14,15,12
9×3+2,29,31,30,28
2×3÷2,3,4,5,2
1+5+5,11,10,12,9
8-6÷2,5,4,6,7
7+4+8,19,18,20,21
9-4+1,6,5,7,8
9+2×6,21,22,23,20
3-8+6,1,4,2,3
9+7+5,21,22,23,20
3÷3+9,10,9,8,11
9+5-6,8,6,9,7
5-9+6,2,1,3,4
7×8-3,53,52,54,51
9+2×7,23,24,22,21
6×3×5,90,91,89,92
3+7+3,13,12,14,11
8+8+4,20,22,19,21
2×2×8,32,34,33,31
3×4÷6,2,1,3,4
4-8÷4,2,4,1,3
7÷7+6,7,8,6,9
2+9+1,12,10,13,11
4+9-1,12,13,11,14
2×6×2,24,22,25,23
6+3-2,7,8,5,6
3+5+1,9,7,8,10
8×6+5,53,55,54,52
6+3+8,17,15,18,16
3+6-4,5,6,3,4
7+5-9,3,2,5,4
5+4-4,5,4,3,6
3×8×3,72,73,74,71
5-5÷5,4,3,6,5
2+6+6,14,12,13,15
7-7+6,6,4,7,5
4×4-7,9,11,10,8
5×9+7,52,53,54,51
3+8+1,12,11,13,10
6×2÷4,3,5,2,4
7+7×9,70,71,69,68
7-6+2,3,4,1,2
8-8+6,6,5,7,8
9×5+5,50,52,49,51
7-2+3,8,9,7,10
9+6×9,63,62,61,64
2+1-1,2,1,3,4
1-1+9,9,8,11,10
5×9+8,53,54,52,51
7+4+9,20,21,19,22
3×6-9,9,10,8,11
2×8+4,20,21,19,18
5×6+6,36,38,35,37
8+8+5,21,23,20,22
3×6×5,90,89,91,92
8+7×4,36,37,35,34
6÷2+6,9,11,10,8
1+6-3,4,2,5,3
4÷2+1,3,4,1,2
3+9-9,3,4,2,5
4+4+3,11,9,12,10
2+5-5,2,1,3,4
7-9+4,2,3,4,1
6×2×2,24,23,25,22
7-1-1,5,4,7,6
7+7×4,35,33,34,36
5-6÷3,3,2,1,4
8+8-9,7,6,9,8
7-9+7,5,7,4,6
5+4-5,4,3,6,5
4×5-3,17,19,18,16
5×3+7,22,21,23,24
1+1+4,6,5,4,7
2×3÷3,2,3,4,1
8-4+4,8,9,7,6
3×7+6,27,25,28,26
8×6+5,53,55,52,54
7×4÷7,4,6,5,3
8×7-6,50,48,51,49
9÷3+1,4,6,3,5
7×9-6,57,55,58,56
9+9+8,26,24,25,27
3+4×3,15,13,16,14
3×4-1,11,10,13,12
7+5-5,7,8,6,5
5×8+1,41,43,40,42
6+5-1,10,11,9,8
9÷9×6,6,5,7,8
6×5+4,34,32,33,35
8-1-5,2,3,4,1
2+9×2,20,18,21,19
5-1+1,5,6,4,7
8+4÷4,9,10,8,7
8-2+2,8,9,10,7
7+6+1,14,16,15,13
7-9÷3,4,3,5,2
9+6-1,14,15,12,13
4÷4×4,4,2,3,5
3+3+9,15,17,14,16
9-8+8,9,7,8,10
7+2-4,5,7,4,6
8+6×8,56,55,54,57
2+7×7,51,52,53,50
7-1-3,3,4,2,1
8÷8+6,7,6,8,9
4×5+4,24,23,25,22
4+3-6,1,4,3,2
1+8+7,16,17,18,15
6×6-3,33,34,32,31
1+7-1,7,6,5,8
6-6+6,6,8,7,5
1+3×6,19,20,17,18
9÷3×4,12,14,13,11
5+6+4,15,13,16,14
8+4×4,24,25,23,26
9-3-2,4,3,5,2
8×9-5,67,65,66,68
5+9+7,21,19,20,22
3+8×6,51,50,52,49
9+5+7,21,22,20,19
2+6-2,6,7,5,8
6+6×8,54,55,53,56
5-7+5,3,1,4,2
8×8+9,73,74,75,72
6+5+6,17,15,18,16
6+2+8,16,15,17,18
9×4÷2,18,17,20,19
1+1+8,10,12,11,9
4×8-1,31,33,32,30
9÷3÷3,1,2,3,4
7×7+5,54,56,53,55
5×9÷5,9,7,8,10
1+1-1,1,3,4,2
3-5+7,5,7,6,4
2×8-5,11,13,10,12
9-2×4,1,3,4,2
8-3+9,14,15,13,16
2×6-2,10,11,12,9
7+4-9,2,1,3,4
8×8÷4,16,15,14,17
2+5×5,27,29,28,26
9×2-1,17,16,19,18
5×8+7,47,45,48,46
1+6+4,11,13,12,10
7×4+3,31,30,29,32
5-2-1,2,1,4,3
8÷8+2,3,2,4,5
4×3×2,24,25,22,23
2+8+6,16,18,15,17
8+7×3,29,27,30,28
4×6+5,29,27,28,30
4+9-7,6,8,7,5
1+1+4,6,7,8,5
8×2×5,80,79,82,81
4+5-7,2,4,1,3
8+6-5,9,10,7,8
6+5+2,13,12,14,15
7+3+3,13,12,14,15
3+7+5,15,17,14,16
5+3+4,12,14,13,11
7×8÷8,7,8,6,9
4+9-6,7,5,6,8
5÷5×6,6,5,8,7
8+8×5,48,47,50,49
4+6×6,40,38,41,39
7+6×4,31,32,30,29
9+9-9,9,8,11,10
7+5-8,4,5,3,2
5-6+5,4,2,3,5
7-1-4,2,4,1,3
9+1-1,9,10,11,8
2×5-7,3,4,2,1
9÷3×3,9,10,11,8
7+6×5,37,35,38,36
5×9÷3,15,16,13,14
4×6÷6,4,2,3,5
8+9×4,44,45,42,43
8+6×9,62,63,61,64
4+9-2,11,12,10,9
5÷5+8,9,10,7,8
2×3÷2,3,5,2,4
5+5-4,6,7,8,5
6-4+1,3,5,2,4
9+2+9,20,22,19,21
6×4÷4,6,7,5,8
2×9-5,13,12,14,15
2+4-5,1,3,2,4
7-5+1,3,5,4,2
8+6+1,15,16,17,14
6×6÷2,18,19,20,17
9-2+3,10,9,11,12
6×4-8,16,18,17,15
7×6+7,49,48,50,47
8+2+9,19,18,17,20
2+3+6,11,12,9,10
6+6-3,9,10,8,7
8+4-5,7,8,6,9
4+4×6,28,27,29,30
9-5+8,12,13,11,14
6+2+8,16,17,15,14
8+9-7,10,9,11,12
7×7-1,48,49,50,47
8-7+6,7,6,8,5
8+7+1,16,14,17,15
1+7×7,50,48,49,51
3-6+4,1,4,2,3
5×4+6,26,27,28,25
9×6+8,62,63,61,64
7+4+2,13,12,11,14
2×7÷2,7,9,8,6
9×2×4,72,70,73,71
3+6-2,7,5,8,6
8×7+7,63,64,62,65
4+6-4,6,5,4,7
9-1+6,14,16,13,15
6×7+2,44,45,43,42
6÷3+2,4,6,5,3
8-8+2,2,4,1,3
5+9×6,59,58,60,61
8×5×2,80,81,79,82
7+9-9,7,6,5,8
9×6+4,58,59,56,57
4+2+8,14,15,12,13
6×4÷6,4,6,5,3
2×5-4,6,4,7,5
6×6+8,44,42,43,45
5÷5+9,10,11,8,9
3+5-2,6,7,5,4
4+6-3,7,9,6,8
9+5×7,44,42,45,43
6×4÷6,4,5,3,6
8×6×2,96,94,95,97
3+5+3,11,9,10,12
9+1-9,1,3,4,2
9÷3-2,1,2,3,4
8+7×4,36,35,37,34
4-3+6,7,9,6,8
2+9×5,47,46,45,48
6-9÷9,5,7,4,6
5-3+6,8,9,7,6
3×6+1,19,20,18,17
2-4+5,3,5,4,2
5×2-5,5,7,4,6
6+8×3,30,28,31,29
8+5-5,8,10,7,9
4×8+5,37,38,35,36
2×8÷2,8,7,6,9
4÷2×2,4,2,3,5
3×2+5,11,9,10,12
7+7-9,5,7,4,6
4+7×2,18,19,16,17
7-1+3,9,7,10,8
7-3+8,12,13,11,10
7+8×7,63,64,62,61
9-7-1,1,4,2,3
6+8+4,18,20,17,19
7-6+2,3,2,4,5
9÷9+6,7,8,9,6
5+7+1,13,12,14,15
9×6+1,55,56,53,54
7+4-2,9,8,11,10
6-2-1,3,4,1,2
6+8×2,22,21,23,24
4+2+1,7,8,9,6
4+2×7,18,17,19,20
9÷9+5,6,5,7,8
2×8-3,13,14,11,12
1+4×7,29,31,28,30
6-2×2,2,3,1,4
2+6-2,6,5,7,8
4+2×5,14,15,16,13
8-6÷6,7,6,8,9
2+4-5,1,4,2,3
4×7-5,23,21,22,24
3×6+7,25,24,27,26
2-6+6,2,4,3,1
5+3+1,9,7,10,8
5×9-3,42,40,43,41
1+6+9,16,17,15,14
6÷6×9,9,10,7,8
2+7+3,12,11,13,10
4×7÷2,14,15,16,13
3÷3×2,2,4,3,1
3+7-1,9,10,8,11
3-9+8,2,3,4,1
3×7-4,17,16,18,19
3+7×6,45,44,43,46
3+6÷6,4,5,2,3
7+3-2,8,9,7,10
5+6+7,18,17,16,19
4+6÷6,5,7,6,4
4-5+9,8,6,9,7
4+9+9,22,24,21,23
6+9×7,69,71,68,70
2+6÷6,3,2,5,4
4×5÷2,10,11,9,12
6-7÷7,5,6,3,4
6-3+1,4,2,5,3
9÷9×6,6,5,8,7
6-8+9,7,8,9,6
5-6+6,5,6,7,4
4÷2×9,18,17,16,19
9-4-4,1,4,2,3
9+5×6,39,41,40,38
9+1-9,1,4,2,3
8+8+5,21,19,20,22
7×7+8,57,56,58,59
8-2-3,3,2,5,4
6×9-4,50,49,48,51
6+8-7,7,6,8,9
8-7+9,10,11,8,9
9+4÷4,10,8,9,11
5÷5+8,9,8,11,10
2+4÷2,4,6,3,5
8+2+1,11,9,10,12
1+9+2,12,13,14,11
2+6-2,6,7,5,8
6+7-7,6,5,7,4
3+5+5,13,15,12,14
7-5+6,8,7,9,6
6×9-6,48,49,47,46
3+6-4,5,4,7,6
3×6+5,23,21,24,22
8×7÷4,14,15,13,16
2+6+3,11,12,10,9
8+6÷2,11,12,9,10
2+6×7,44,46,43,45
7×2-9,5,4,6,7
6÷6+9,10,9,8,11
8×4+4,36,37,34,35
4+6+6,16,15,17,18
4-5+9,8,6,9,7
9-2+1,8,6,9,7
1+4+8,13,15,12,14
4+8-9,3,1,2,4
5×8×2,80,78,81,79
3+9-4,8,6,9,7
5-2-1,2,1,4,3
5-5+7,7,6,8,5
7+5+3,15,16,14,13
8×7+7,63,62,64,65
2×9÷2,9,8,10,7
1+9-2,8,7,9,10
1+4×8,33,34,35,32
4+8×5,44,45,42,43
7×5-8,27,25,28,26
6+7×8,62,60,63,61
2+1+5,8,7,6,9
8÷4×5,10,9,8,11
3+7×3,24,25,23,26
6+8×7,62,61,60,63
6÷3÷2,1,3,2,4
5×8÷8,5,4,7,6
2×4×2,16,14,15,17
6+6-4,8,7,9,10
8+7+2,17,16,19,18
6-2+2,6,5,8,7
2×8+4,20,22,21,19
3×2-4,2,3,4,1
1+9-2,8,9,7,6
6-6+3,3,4,1,2
2×6+6,18,20,17,19
5×9+8,53,54,55,52
6+6×6,42,40,43,41
4×9÷2,18,17,20,19
5+3×6,23,24,25,22
3+2+9,14,15,13,16
6+4+3,13,15,12,14
7×4-9,19,21,18,20
9+9+1,19,21,20,18
1+2×3,7,6,9,8
8÷8×6,6,7,5,4
9+8+4,21,19,20,22
3×6×3,54,56,53,55
5×4-3,17,19,18,16
9-4-3,2,3,4,1
9+6÷3,11,10,12,13
4+8+8,20,19,21,22
4-1+6,9,10,7,8
4-5+2,1,3,2,4
4+7+6,17,18,16,15
8×3-7,17,18,15,16
2+1+5,8,7,9,6
4×2×9,72,73,74,71
7×5×2,70,71,68,69
5×9+9,54,53,56,55
6-7+2,1,4,3,2
8+8+1,17,15,18,16
6×4÷6,4,3,6,5
8×6-5,43,42,45,44
5×5-4,21,23,22,20
2×9-4,14,16,15,13
4÷4+1,2,1,3,4
3×2÷2,3,4,5,2
7×5-4,31,33,32,30
8×3-6,18,17,19,16
6÷2+4,7,9,6,8
5×8-6,34,33,35,36
6+5-5,6,8,5,7
6×9-1,53,52,54,55
4-3+1,2,1,4,3
4×4×3,48,47,49,50
5+6+9,20,21,19,22
8+3+7,18,19,20,17
5×2+2,12,14,13,11
3×9+1,28,27,29,26
7+2-3,6,4,5,7
9+2×2,13,14,12,11
4÷2×7,14,15,13,12
8×2×4,64,63,65,62
9+6-2,13,14,11,12
