quiz,answer,wrong1,wrong2,wrong3
2-8+7,1,3,2,4
7+7-8,6,4,7,5
6×6-7,29,28,30,27
3+5-4,4,5,3,6
1+4+3,8,7,9,10
2+9+7,18,17,19,16
9+4+7,20,19,21,22
7-2×2,3,2,5,4
2×3+3,9,11,8,10
7×2-6,8,9,7,10
2×8-8,8,10,7,9
3-1+6,8,9,6,7
9+5-9,5,7,6,4
2×3+7,13,14,12,11
4-9+6,1,4,2,3
8+2×8,24,22,23,25
4+8+8,20,19,21,22
2×3-2,4,3,5,2
6×2+6,18,17,19,20
6+3-7,2,4,3,1
8-2×2,4,6,5,3
5+5-2,8,10,9,7
2×3+9,15,13,14,16
2+2+8,12,13,10,11
7+3-6,4,3,5,2
7+9+2,18,16,19,17
7+9-3,13,12,15,14
8×2-5,11,10,9,12
7×4+1,29,30,27,28
3×7-4,17,15,16,18
2+2×5,12,13,11,14
2+9+2,13,11,12,14
9-8+9,10,9,12,11
8×3-1,23,21,22,24
9×3-2,25,24,26,23
7+4-2,9,10,11,8
4×3+3,15,16,14,13
8+4-2,10,12,9,11
3×5-6,9,10,8,11
2+3-4,1,2,4,3
7+6-1,12,13,11,10
4+3-2,5,6,4,7
5+4+7,16,14,17,15
6+4×4,22,20,21,23
5×4-1,19,17,20,18
4-2+1,3,2,1,4
4×3+3,15,16,13,14
4+3×8,28,26,27,29
4+3-5,2,4,1,3
8×3+1,25,24,23,26
7+6+3,16,18,17,15
8+8-4,12,11,14,13
2+7+3,12,10,11,13
3×7+7,28,27,29,30
4+9-6,7,5,6,8
8+3+3,14,16,13,15
4+5+8,17,19,18,16
1+7+9,17,19,18,16
2×5+2,12,13,14,11
9+9+1,19,18,20,17
2×5+9,19,20,18,21
7×4+1,29,27,30,28
4×8-4,28,27,26,29
6+4-3,7,8,6,9
8-2+1,7,6,9,8
7-4+8,11,10,13,12
5×3+2,17,16,19,18
5×3+2,17,15,18,16
9×3-7,20,19,18,21
2+6+1,9,7,8,10
5+8-1,12,14,11,13
8-7+9,10,9,11,8
7+9+3,19,18,20,21
4+5×4,24,23,25,26
6-1+1,6,4,7,5
5+4×3,17,16,15,18
9+3+7,19,21,20,18
7+9+9,25,24,27,26
9+4-2,11,10,13,12
3×3+6,15,17,16,14
6+2+4,12,14,13,11
5-2+4,7,6,9,8
6+8-8,6,7,5,8
6+6+1,13,12,14,11
8+3+7,18,17,19,20
5×2-7,3,4,2,5
1+1-1,1,3,2,4
1+8+8,17,16,18,19
9+1-8,2,3,4,1
8+2-3,7,8,9,6
4+6+7,17,16,19,18
9+9+1,19,17,18,20
3×4+5,17,16,18,19
4×4-7,9,8,7,10
3×7-6,15,16,13,14
7+1-7,1,3,4,2
6-8+3,1,4,3,2
4+8-6,6,7,5,4
5+6+9,20,19,18,21
9+3+9,21,22,23,20
6+3+1,10,12,9,11
2+5-1,6,4,7,5
2+7×3,23,22,21,24
4+9-6,7,8,6,9
6-3+4,7,8,5,6
6+2+2,10,9,11,12
4+2+1,7,9,8,6
9+3+8,20,22,21,19
5+5-9,1,4,3,2
2×7+4,18,19,16,17
2-9+9,2,3,1,4
3×6+3,21,22,19,20
4+6-4,6,5,7,8
2-1+6,7,9,6,8
3×4+9,21,22,23,20
9+6-5,10,8,9,11
9×3-9,18,19,16,17
4+4+3,11,12,10,9
6+4+8,18,19,17,20
8+2-8,2,1,3,4
9-1-2,6,5,7,4
7-5+4,6,7,5,8
8+1+9,18,17,16,19
9+4+8,21,20,23,22
6-2+3,7,6,9,8
3×3-4,5,6,4,3
3+5×4,23,24,22,21
4+3×8,28,27,30,29
8+9-6,11,12,10,9
6+3+5,14,13,12,15
1-5+8,4,6,3,5
5×5+4,29,27,30,28
7×2+6,20,19,22,21
8+4-4,8,6,7,9
9+5-5,9,8,10,11
7-4+8,11,10,9,12
9+7+4,20,19,21,18
6+4×6,30,27,28,29
2+5+5,12,13,14,11
3+7+4,14,12,15,13
6+8-8,6,7,5,8
4+7×3,25,24,26,27
7-2-4,1,4,2,3
7-7+2,2,1,3,4
1+9×2,19,20,17,18
9+4-3,10,9,8,11
2+6-6,2,4,3,1
8+5-8,5,4,6,3
8-7+5,6,5,7,4
4+9-2,11,9,10,12
9+1+4,14,13,12,15
3×6+6,24,25,26,23
5+1-1,5,6,4,7
4+2-3,3,2,4,5
9-3×2,3,4,2,1
3-1+9,11,10,13,12
9+4-6,7,9,6,8
5-1+4,8,6,9,7
2+5+3,10,8,11,9
8-8+1,1,4,3,2
4+6+4,14,15,13,16
8-6+9,11,10,12,9
8+3+1,12,13,11,10
6+3+4,13,15,14,12
3+2×3,9,10,8,11
3×2+9,15,16,13,14
6-3+2,5,4,3,6
8-4-3,1,3,2,4
7×3+9,30,29,28,27
7+8×2,23,22,21,24
6-2×2,2,3,4,1
4+3+2,9,10,8,11
4+6+1,11,10,12,13
5×3-6,9,8,10,7
9+6+7,22,23,21,20
6+4-5,5,4,7,6
4+3+7,14,12,13,15
8-5+5,8,9,7,10
3×8-3,21,19,20,22
7-1+5,11,9,12,10
6×2-9,3,2,1,4
9×2-1,17,15,18,16
1+4×5,21,20,22,19
6×3+9,27,26,25,28
6+1-4,3,1,2,4
2+8-2,8,9,10,7
4×2+8,16,14,15,17
6×2+8,20,19,21,18
4×6-1,23,24,25,22
3+5×3,18,20,19,17
1+2+9,12,11,13,14
6-4+9,11,13,10,12
9+3+7,19,17,18,20
5×4-3,17,18,15,16
7+4×2,15,17,16,14
9+8-2,15,16,13,14
8-1+5,12,11,13,14
2+5-1,6,7,5,8
9+2+1,12,13,11,10
8+2×5,18,17,19,20
4+1+9,14,13,12,15
2+7×4,30,28,29,27
7+9+6,22,23,20,21
9+2×3,15,16,13,14
8-4+8,12,13,11,14
6-6+9,9,10,8,7
3×3-4,5,6,4,3
2×9-9,9,7,10,8
4+8×3,28,27,30,29
6+8+9,23,24,21,22
3+2+2,7,6,8,5
3×3+6,15,16,14,13
3+4×2,11,12,13,10
6+6-6,6,5,7,4
4+8-2,10,9,11,8
7+6+4,17,16,18,19
6+1+6,13,14,12,11
5-9+6,2,4,3,1
8+4+8,20,19,21,22
1+4-4,1,2,4,3
2+7-6,3,4,5,2
4+4×4,20,22,21,19
7+3×4,19,18,20,21
7+3-3,7,6,8,9
5×5+3,28,26,29,27
9-3+7,13,15,12,14
7-2+4,9,8,10,11
2×5+3,13,15,14,12
2-4+6,4,6,3,5
4-1+3,6,5,7,8
5×7-6,29,28,30,27
8×2-6,10,8,11,9
9×2+3,21,19,20,22
9+8-4,13,12,11,14
7+7-2,12,11,14,13
2+8+2,12,11,13,10
3-4+3,2,1,4,3
6×6-7,29,28,30,27
5-6+6,5,6,3,4
5-5+6,6,7,5,8
5-2+6,9,8,10,11
5×2+3,13,14,15,12
7-6+4,5,7,4,6
7×3-8,13,11,14,12
9+2+7,18,17,16,19
7×2+9,23,24,25,22
3+9-6,6,7,8,5
6×4-2,22,23,21,20
3+8-7,4,3,6,5
7+9+8,24,25,26,23
5+4+5,14,13,15,12
9+8+8,25,26,23,24
4-1-2,1,3,2,4
3+4+3,10,9,12,11
6-1+9,14,15,13,16
8-4+6,10,9,8,11
4+4-1,7,9,8,6
4×5-3,17,16,19,18
7-6+3,4,2,3,5
3×8+4,28,29,26,27
2+7-8,1,2,4,3
8-9+2,1,4,2,3
6+5+8,19,20,17,18
3+8-7,4,6,5,3
6+1+9,16,17,14,15
6-6+2,2,1,4,3
4×6-5,19,21,18,20
7-9+7,5,7,6,4
2-4+7,5,3,6,4
4×4-4,12,10,13,11
2+9-2,9,8,7,10
8×2-8,8,7,9,10
8-2+7,13,15,12,14
6+1+3,10,9,12,11
6-5+3,4,3,6,5
2×9-4,14,13,15,16
6+8+5,19,18,17,20
6-1-4,1,2,3,4
8+4-7,5,4,3,6
6-8+6,4,5,3,6
2+3×6,20,21,19,18
6+4×3,18,19,17,16
1+1+3,5,4,7,6
4×7-5,23,24,25,22
7×2+8,22,23,21,20
3+5+9,17,16,19,18
2+7+7,16,17,15,14
5+8×2,21,23,22,20
5-9+9,5,7,4,6
8-2+4,10,9,11,8
2×9-2,16,15,17,14
2+5+8,15,14,16,13
4+1+1,6,7,5,4
6+5-1,10,12,11,9
2+4×6,26,27,25,24
6+9+2,17,18,15,16
9-9+5,5,7,6,4
5-7+9,7,5,6,8
4×4+9,25,23,24,26
1+2×4,9,7,10,8
3×9-1,26,24,27,25
3×2+1,7,8,6,9
1+6×4,25,24,26,27
3+8+5,16,14,17,15
2+5-1,6,8,7,5
3+1-2,2,1,4,3
3×2+4,10,9,8,11
5×4-8,12,13,11,14
5+5+8,18,19,20,17
6×5-7,23,22,24,21
9+1-1,9,8,10,7
5+6-1,10,8,11,9
2-6+8,4,5,3,2
2-4+9,7,6,8,9
2+4+1,7,9,8,6
4-1+1,4,3,2,5
9-7+8,10,11,9,12
9×2+6,24,23,25,22
5×5-4,21,22,20,23
9+8+9,26,28,27,25
3+8+2,13,14,11,12
4+2+4,10,8,11,9
5-5+7,7,9,6,8
8+3-7,4,6,5,3
9+5-8,6,5,7,8
8-3-1,4,3,2,5
7×3-4,17,15,18,16
5-8+8,5,7,4,6
7+3-1,9,11,8,10
3×3-4,5,3,4,6
4+3+3,10,9,11,12
8+8-3,13,14,11,12
4×6-8,16,18,15,17
7+2+6,15,14,16,17
8+2×8,24,23,26,25
1+8+8,17,18,16,19
2-5+4,1,4,3,2
9-3+5,11,9,10,12
2+9+6,17,18,16,19
3+4-5,2,3,1,4
8-3-3,2,4,1,3
3×2+6,12,10,11,13
5-2+6,9,7,10,8
7-4+7,10,9,8,11
3-7+9,5,4,6,3
8+6+7,21,22,23,20
6×4-8,16,14,15,17
2-4+7,5,4,6,7
5×2-3,7,5,8,6
8-9+2,1,4,3,2
8+6+7,21,20,22,23
4+2-5,1,3,2,4
9+8-4,13,14,12,15
5+7+7,19,20,21,18
4+9-1,12,14,13,11
9+3×7,30,27,29,28
1-5+7,3,2,4,1
3×9+2,29,30,27,28
9+4-6,7,8,6,9
9-3-2,4,5,2,3
7-9+5,3,1,4,2
3×4-2,10,9,8,11
6+5+8,19,21,18,20
2+8+2,12,11,10,13
2×9+4,22,23,24,21
5+7-8,4,3,5,2
5×7-5,30,27,28,29
2+5+4,11,10,9,12
6+7+8,21,19,20,22
3-2+7,8,6,7,9
4×9-9,27,26,28,25
1+7-3,5,4,6,3
3+9+5,17,19,18,16
4+7+4,15,16,14,13
2-2+7,7,8,9,6
5+7-9,3,2,5,4
8+9+9,26,28,25,27
1+5+2,8,9,7,10
9-1-3,5,6,7,4
4+2+3,9,10,8,7
7+1-7,1,3,4,2
7-1-1,5,6,7,4
8-6+1,3,1,2,4
9-4+6,11,9,12,10
2+4×6,26,25,24,27
7+9-8,8,9,7,6
4-8+8,4,2,3,5
4×6+4,28,27,30,29
6+9+9,24,25,23,22
5-4+2,3,1,4,2
6+7+4,17,15,18,16
2-4+8,6,5,4,7
3×6+7,25,23,26,24
3-2+4,5,7,6,4
5+3×6,23,22,24,21
3×2+1,7,5,6,8
6+2-5,3,1,4,2
2×3-5,1,4,3,2
4+8+8,20,21,19,22
2+8-5,5,6,4,3
5+2×6,17,16,15,18
6+5+1,12,13,14,11
7+7-6,8,7,10,9
9-8+4,5,6,4,3
4-4+3,3,4,2,1
3×3+4,13,14,11,12
4×3+1,13,11,14,12
2+7-5,4,6,5,3
8-8+3,3,4,2,5
9+7-8,8,9,10,7
9-5+7,11,13,10,12
9-8+6,7,6,8,5
7+8+2,17,15,18,16
7-9+5,3,4,2,5
5+4+7,16,18,17,15
7×4-5,23,24,25,22
9-1-5,3,2,4,1
2-1+8,9,8,7,10
4+5+2,11,13,12,10
1-1+2,2,4,3,1
5-1+7,11,12,10,13
2×7+9,23,22,24,21
4-5+9,8,9,10,7
6-7+9,8,7,6,9
4×2+8,16,15,18,17
2+5-1,6,7,5,4
8+6+1,15,14,17,16
6-8+6,4,6,3,5
3+3-3,3,2,5,4
2-4+9,7,9,6,8
8-8+9,9,7,10,8
1+4+4,9,8,11,10
8-2+8,14,15,13,12
1+3×8,25,26,27,24
4×8-2,30,29,28,27
9-4+3,8,6,7,9
1-3+9,7,5,6,8
5+5-1,9,11,10,8
9+6-7,8,7,10,9
4-3+1,2,3,4,1
6×5-3,27,26,28,25
4+6×2,16,17,14,15
7×3-1,20,18,21,19
4+2-2,4,5,3,2
5×4-6,14,13,15,16
6-3+9,12,13,10,11
8+2-9,1,2,4,3
7+1-7,1,2,4,3
4+2+8,14,16,15,13
5×4+8,28,27,29,30
2-2+3,3,2,1,4
2×4+3,11,12,9,10
6-4-1,1,2,4,3
6-2×2,2,3,1,4
8-2+5,11,10,12,13
5-2×2,1,4,2,3
1+2×6,13,15,14,12
5-8+9,6,8,5,7
7+4×4,23,21,24,22
5×4-4,16,18,15,17
4×4-4,12,10,11,13
9-9+6,6,5,7,4
3-1-1,1,2,4,3
8-3+7,12,13,11,10
4×4+7,23,25,24,22
5+7-6,6,5,7,4
1+3×2,7,6,5,8
4×7-4,24,25,22,23
3+7+9,19,21,20,18
9+9+8,26,27,25,24
5+5+3,13,14,11,12
6+5+9,20,18,21,19
9+5+8,22,24,23,21
3-2+9,10,12,11,9
7+7+7,21,20,23,22
5×5+2,27,26,29,28
6+8+3,17,18,16,15
1-2+9,8,7,9,10
8×3+5,29,30,28,27
6+6×3,24,25,22,23
7-7+7,7,9,6,8
2×3+3,9,7,8,10
2+6-5,3,2,4,1
9-6-2,1,2,3,4
8+4+3,15,13,16,14
4+4×5,24,25,23,22
4-8+9,5,4,6,3
4×4-5,11,10,12,13
6+8+7,21,20,23,22
8+3-3,8,7,9,10
8-6+7,9,7,10,8
3×3+4,13,15,14,12
2+5-4,3,1,4,2
2×9-2,16,14,15,17
2×7+2,16,14,15,17
6+2+5,13,11,14,12
6+6×2,18,19,17,16
8+2-5,5,4,7,6
3-2+3,4,6,3,5
8-1+2,9,7,8,10
9-8+9,10,11,9,8
9+3×2,15,16,13,14
5+1+3,9,8,10,7
2+2+8,12,11,10,13
7+3×2,13,11,14,12
7-2+4,9,8,10,7
7×3-1,20,21,19,18
7-3+6,10,8,9,11
3+6-7,2,1,4,3
6+6+8,20,19,21,22
4×3-7,5,7,6,4
9+4-3,10,8,11,9
8-3+3,8,7,10,9
5+1+9,15,13,14,16
8+4+9,21,23,20,22
9+3-4,8,6,7,9
7+7-5,9,8,10,7
4+4×4,20,19,22,21
4+2×4,12,11,10,13
6×4-1,23,21,24,22
2-9+9,2,4,1,3
4×4+2,18,19,16,17
5-9+6,2,3,4,1
6-2+9,13,12,15,14
3×5-8,7,9,6,8
9+9×2,27,29,28,26
3+4-2,5,7,6,4
9+4×4,25,23,24,26
8+6-7,7,5,8,6
7+7+2,16,15,17,18
3+8+1,12,13,10,11
8+2×5,18,17,20,19
5+5+3,13,15,14,12
8+2-5,5,3,6,4
4-6+8,6,7,8,5
8+7+5,20,21,22,19
3+7-1,9,11,10,8
7+1+1,9,11,8,10
8+3×3,17,15,18,16
4-5+7,6,5,7,8
8+4-2,10,11,9,8
3+7+7,17,16,18,15
4+2×8,20,19,22,21
4+9-6,7,8,9,6
4-2+1,3,2,4,5
6-7+2,1,3,4,2
1+7+9,17,18,16,15
8-4+9,13,12,14,11
6+9×2,24,23,25,26
2+8+5,15,13,16,14
2-3+5,4,3,2,5
2×2+6,10,11,9,8
4-1-2,1,4,2,3
1-6+8,3,5,4,2
8-5+6,9,7,10,8
3+2+9,14,15,16,13
7+1+5,13,11,12,14
5+3+7,15,14,17,16
6+4×4,22,24,21,23
4+1+8,13,12,11,14
4+3×8,28,27,29,26
6-1+4,9,10,11,8
5-1-3,1,3,4,2
1+4+4,9,11,8,10
2+2+3,7,8,9,6
8+5-1,12,13,11,14
4+6+4,14,12,13,15
8+3×7,29,27,28,30
2+5-2,5,3,4,6
7+3+3,13,12,14,11
3×3+6,15,16,14,17
2+4+2,8,7,10,9
7-7+2,2,4,3,1
2+3+8,13,14,12,11
3+4-6,1,2,4,3
7+5-7,5,4,6,7
6×5-8,22,21,24,23
6+8×2,22,21,20,23
8-6+6,8,9,6,7
8+3-1,10,8,9,11
6×5-4,26,24,27,25
7-8+6,5,6,7,4
6-5+9,10,9,11,12
7×5-5,30,29,27,28
5+9-1,13,11,12,14
1+9×2,19,17,20,18
7+9+7,23,24,22,21
7-1+9,15,17,16,14
3×5+1,16,18,15,17
4+1+6,11,13,10,12
2+2-3,1,3,4,2
9+1-7,3,4,1,2
2+6-4,4,5,2,3
7+8-8,7,5,8,6
4+8×3,28,29,27,26
5+2-5,2,3,4,1
3×9-1,26,28,27,25
5+4×3,17,16,19,18
9+4+8,21,23,20,22
5-5+6,6,8,5,7
9+4-1,12,13,11,14
3×5+3,18,17,19,20
2+5+2,9,8,7,10
6+7×3,27,26,29,28
8+2×3,14,16,13,15
6+4+8,18,17,20,19
9+8×2,25,26,24,27
8+8-4,12,11,13,14
