key,ja,en,ko,zh
ED3_D012,"[sh]んっ…[w3]んっ…[w3][/sh]
[fs12][b][wv]んっ…[w3]んんんんっ…♥[/wv][/b][/fs]","[sh]Mmh…[w3]ngh…[w3][/sh]
[fs12][b][wv]Mmh…[w3]nnngh…♥[/wv][/b][/fs]","[sh]흥…[w3] 후읏…[w3][/sh]
[fs12][b][wv]응…[w3] 흐으으응…♥[/wv][/b][/fs]","[sh]唔…[w3]唔…[w3][/sh]
[fs12][b][wv]唔…[w3]唔唔唔唔…♥[/wv][/b][/fs]"
ED8_D009,"もし誰かに見られたら…[w3]
でも…[w3][sh]もう…[w3][b][fs13]限界…！[/fs][/b][/sh]","What if someone sees me…?[w3]
No…[w3][sh] [b][fs13]I can’t…[w3]hold it any longer…![/fs][/b][/sh]","청소하는 분께는 죄송하지만…[w3]
이젠…[w3][sh][b][fs13] 한계야…![/fs][/b][/sh]","要是被人发现的话…[w3]
可是…[w3][sh]已经…[w3]
[b][fs13]忍不住了…！[/fs][/b][/sh]"
ED8_D008,用具入れの中…[w3]ここなら隠れてうんちできる…！,The janitor's closet… [w3] I can hide in here and poop…!,"청소도구함…[w3]
여기라면 숨어서 응가할 수 있어…!","清洁工具间…[w3]
我可以躲在这里便便…！"
ED6_D014_2,全然袋に入ってないし…,It didn't even go into the bag…,봉지에도 다 안들어갔네…,完全没拉进袋子里…
ED8_D002,そ…[w3]そんな！[w3]誰か入ってる…,N… [w3]no way![w3] Someone's already in there…,어…[w3] 어어?[w3] 누가 이미 있어…,怎…[w3]怎么会！[w3]里面有人…
ED6_D014_1,"うあ…[w3]すっごいたくさん
出ちゃった…",Ugh…[w3] I pooped so much…,으아…[w3] 응가 너무 많이 나왔어…,呜啊…[w3]竟然拉了这么多…
ED3_D001,"着いた！？ [w3]
ちょっと行ってくるからっ…[w3]
待ってて…！",We're here!?[w3] I'll be right back… [w3] Wait here…!,도착했어!? [w3]후딱 다녀올테니까…[w3] 기다려줘…!,"到厕所了！？[w3]
我去一下厕所…[w3]等我…！"
ED8_D007,[sh]漏らすくらいなら…！[/sh],[sh]Better somewhere else than in my pants…![/sh],[sh]응가 지릴바엔 차라리…![/sh],[sh]与其拉在裤子里…！[/sh]
ED8_D005,"これ…[w3]
しばらく出てこなさそう…",At this rate… [w3]she won't be coming out anytime soon…,이거…[w3] 한동안 안 끝날 것 같은데…,"这样下去…[w3]
她一时半会儿应该出不来…"
ED8_D004,"私も…[w3][sh]もう…[w3]限界なのに…[w3]
早く…[w3][b]終わって…！[/b][/sh]","I…[w3][sh]I'm… [w3] at my limit too… [w3]
Please… [w3][b]hurry up…![/b][/sh]","나도…[w3][sh] 이젠…[w3] 한계인데…[w3]
제발…[w3] 빨리…[w3][b] 끝내줘…![/b][/sh]","我也…[w3][sh]已经…[w3]到极限了…[w3]
快点…[w3][b]结束吧…！[/b][/sh]"
ED4_D003_1,"こ…[w3]これ…[w3]ヤバいかも…[w3]
動けない…[w3]動いたら…[w3][b]出る…[/b]",This is bad… [w3] Can't move… [w3] If I do… [w3][b]it'll come out…[/b],"아…[w3] 안돼…[w3] 못 움직이겠어…[w3]
움직이면…[w3] 백퍼 나온다…","这…[w3]这下…[w3]可能不妙了…[w3]
不能动…[w3]一动…[w3][b]就要出来了…[/b]"
ED4_D003_2,"ヤダ…[w3]
トイレまであと少しなのに…",No… [w3]I'm almost there…,제바알…[w3] 화장실이 코 앞인데…,"不要…[w3]
明明马上就到厕所了…"
ED1_D004_1,"[sh]ん…[w3]んん…[/sh][w3]
[wv][b][fs12]ああああああ…[/fs][/b][/wv]","[sh]Mmh…[w3]nngh…[/sh][w3]
[wv][b][fs12]Aaaahhh…[/fs][/b][/wv]","[sh][wv][fs15]흐…[w3] 으응…[w3][/fs]
[b][fs12]아아아아아아…[/fs][/b][/wv][/sh]","[sh]嗯…[w3]嗯嗯…[/sh][w3]
[wv][b][fs12]啊啊啊啊啊啊…[/fs][/b][/wv]"
ED7_D011,"[sh][fs13]んっ…[/fs][/sh][w3][b][wv]はあ…[w3]はあ…[/wv][/b][w3]
終わった…","[sh][fs13]Mmh…[/fs][/sh][w3][b][wv] Hah…[w3] hah…[/wv][/b][w3]
I'm done…",[sh]읏…[/sh][w3][b][wv] 하아…[w3] 하아…[/wv][/b][w3] 다 쌌다…,"[sh][fs13]唔…[/fs][/sh][w3][b][wv]哈啊…[w3]哈啊…[/wv][/b][w3]
结束了…"
ED1_D004_2,"[fs12]ま…[w5]間に合った…[w5][/fs]
ダメかと思った…","[fs12]I…[w5]I made it…[w5][/fs]
I thought I wasn't going to make it…","아…[w5] 안 늦었다…[w5]
팬티에 응가 지리는 줄 알았네…","[fs12]总…[w5]总算赶上了…[w5][/fs]
我还以为来不及了…"
ED7_D010,"でも…[w3]
お腹ラクになっていってる…",At least…[w3] my stomach feels a little better…,그래도…[w3] 배는 좀 편해졌어…,"不过…[w3]
肚子倒是越来越轻松了…"
ED7_D013,シートも汚れちゃったかも…,"I might've gotten some on the seat, too…",시트도 좀 더러워졌을지도…,座椅好像也弄脏了…
ED3_D015_1,はあ…[w3]はあ…,Hah…[w3] hah…,하아…[w3] 하아…,哈啊…[w3]哈啊…
ED7_D012,"う…[w3][fs7]グスン…[/fs][w3]ご…[w3]ごめん…[w3]
うんちいっぱい出ちゃった…","Uh… [w3][fs7]*sniff*…[/fs][w3] s…[w3] sorry… [w3]
I…[w3]I pooped all over myself…","우…[w3][fs7] 훌쩍…[/fs][w3] 미…[w3] 미안…[w3]
응가 잔뜩 지려버렸어…","呜…[w3][fs7]呜呜…[/fs][w3]对…[w3]对不起…[w3]
拉出来好多便便…"
ED3_D015_2,"すっごい…[w3]出たぁ…[w3]
[b]スッキリしたぁぁ…[/b]","I pooped…[w3] so much…[w3]
[b]I feel sooo much better…[/b]","엄청나게…[w3] 눴다…[w3]
[b]시원하다아아아…[/b]","居然…[w3]拉了这么多…[w3]
[b]舒服多了…[/b]"
INTRO_D004_3,家まで我慢できるかな…,Can I make it home…?,집까지 참을 수 있으려나…,我能撑到家吗…
INTRO_D004_2,なんでこのタイミングでしたくなっちゃうの…！？,Why do I have to go now of all times…?!,"왜 꼭 이런 타이밍에
마려워지는 거야…!?",为什么偏偏是这个时候想上厕所啊…！？
INTRO_D004_1,"何日もうんち
出てなかったのに…",I haven't been able to poop for days…,"며칠 동안이나 응가하려
해도 안 나오더니…",明明已经好几天都没拉出来了…
ED3_D016_2,ここのトイレのこと思い出した私えらすぎでしょ…,"Clever me, [w3]remembering this restroom was right here…","여기 화장실 떠올린 나 자신… [w3]
아주 칭찬해…",能想起这里有厕所的我也太厉害了吧…
ED3_D016_1,間に合ってよかったぁ…,I'm so glad I made it…,안 늦어서 다행이야…,幸好赶上了…
ED2_D004_1,"[b][fs12]我慢しなきゃ…！[/fs][/b][w3]
あと…[w3]ちょっと…","[b][fs12]I have to hold it…![/fs][/b][w3]
Just…[w3] a little longer…",[sh]참아야 해…[w3] 조금만…[w3] 더…![/sh],"[b][fs12]一定要忍住…！[/fs][/b][w3]
再…[w3]坚持一下…"
ED2_D004_2,[b][fs13]目の前のトイレに入るだけなの…！[/fs][/b],[b][fs12]I just need to get into the bathroom right in front of me…![/fs][/b],[b][fs11]이제 문 열고 들어가서 변기에 앉기만 하면 되는데…![/fs][/b],[b][fs13]只要走进眼前的厕所就行了…！[/fs][/b]
ED6_D016,"う…[w3][fs7]グスン…[/fs][w3]くさいよね…[w3]
ほんとにごめんね…",Ugh…[w3] [fs7]*sniff*…[/fs][w3] I know it smells awful…[w3] I'm so sorry…,"후으… [w3][fs7]훌쩍…[/fs][w3] 냄새나지…[w3]
진짜 미안해…","呜…[w3][fs7]呜呜…[/fs][w3]很臭吧…[w3]
真的对不起…"
ED6_D012,うんち多すぎだよ…[w3]何でこんな時に限って…！,[fs9]There's way too much poop…[w3] Why now of all times…![/fs],"응가 너무 많이 나오는거 아냐…?[w3] 
왜 이럴 때 하필…!","便便也太多了…[w3]
为什么偏偏是这种时候…！"
ED6_D013,"[sh][fs14]んんっ…！[/fs]
[w3][wv][b]んふぅぅぅぅ…[/b][/wv][/sh]","[sh][fs14]Nngh…![/fs]
[w3][wv][b]Phewww…[/b][/wv][/sh]",[sh][fs14]끄흥…![/fs][/sh][w3][wv][b] 푸휴우우우우…[/b][/wv],"[sh][fs14]唔唔…！[/fs]
[w3][wv][b]呼呜呜呜呜…[/b][/wv][/sh]"
ED6_D010,[sh]んっ…[w3][fs12]んんっ…[/fs][/sh],[sh]Mmh…[w3][fs12]nngh…[/fs][/sh],[sh]읏…[w3] [fs12]흐으응…[/fs][/sh],[sh]唔…[w3][fs12]唔唔…[/fs][/sh]
ED6_D011,"[sh][fs12][b]んんんんんんっ…[w3]
うううううんっ…[/b][/fs][/sh]","[sh][fs12][b]Nnngghhh…[w3]
nnnnggh…[/b][/fs][/sh]","[sh][fs12][b]흐으으으으응…[w3] 
후끄으으으으으으으응…[/b][/fs][/sh]","[sh][fs12][b]唔唔唔唔唔唔…[w3]
呜呜呜唔…[/b][/fs][/sh]"
ED1_D002,"うあ…[w3]あ…[w3]ヤバい…[w3]
[sh]ヤバいっ…！[/sh][w3]
[sh][b]で…[w3]出るぅ…！[/b][/sh]","Ugh…[w3] ah…[w3] this is bad…[w3]
[sh]This is really bad…![/sh][w3]
[sh][b]I…[w3]It's coming out…![/b][/sh]","우아…[w3] 아…[w3] 조금만…[w3]
[sh]더 참앗…![w3][b] 나…[w3] 나온닷…![/b][/sh]","呜啊…[w3]啊…[w3]糟了…[w3][sh]糟了…！[/sh][w3]
[sh][b]要…[w3]要出来了…！[/b][/sh]"
ED1_D003,[fs13][b][sh2]んんんんんんっ…！[/sh2][/b][/fs],[fs13][b][sh2]Nngghhh…![/sh2][/b][/fs],[fs13][b][sh2]흐으으으응…![/sh2][/b][/fs],[fs13][b][sh2]嗯嗯嗯嗯嗯嗯…！[/sh2][/b][/fs]
ED7_D002_1,"あと少し…[w3]なのにっ…[w3]
うんち…[w3]出ちゃうぅっ…！",But… [w3][b][sh]it's about to come out…![/sh][/b],"조금만 더…[w3] 참으면 되는데…[w3]
[b][sh]응가…[w3] 나오겠어…![/sh][/b]","明明只差一点了…[w3]可是…[w3]
便便…[w3]要出来了…！"
ED1_D005,ん…[w3][b][fs15][wv]はあああああ…[/wv][/fs][/b],Mm…[w3][b][fs15][wv] Haaahhh…[/wv][/fs][/b],읏…[w3][b][fs15][wv] 하아아아아…[/wv][/fs][/b],嗯…[w3][b][fs15][wv]哈啊啊啊啊…[/wv][/fs][/b]
ED1_D006,"はあ…[w3]はあ…[w3]
ほんっっとにヤバかった…","Hah…[w3] hah…[w3]
That was way too close…","하아…[w3] 하아…[w3]
1초만 늦었어도… [w3]위험했어…","哈啊…[w3]哈啊…[w3]
刚才真的好险…"
ED1_D007,[fs13][sh]ん…[/sh][/fs][w3][fs11]まだ…[/fs11][w3][fs9]出る…[/fs],"[fs13][sh]Mmh…[/sh][/fs][w3]
[fs11]There's still…[/fs11][w3][fs9] more…[/fs]","읏…[w3] 응가가 아직 더…[w3] 
나올 것 같네…",[fs13][sh]嗯…[/sh][/fs][w3][fs11]还…[/fs11][w3][fs9]还有…[/fs]
ED2_D005,[w5][b][fs12]あっ…！[/fs][/b],[w5][b][fs12]Ah…![/fs][/b],[w5][b][fs12]앗…![/fs][/b],[w5][b][fs12]啊…！[/fs][/b]
ED7_D002_2,[fs9]お漏らしなんて絶対ダメっ…！[/fs][w3][sh][b]ガマンっ…！[w3]ガマンっ…！[/b][/sh],"[fs9]I can't poop myself…![/fs][w3][sh][b]
I have to hold it… [w3] Hold it…![/b][/sh]","[fs9]지리는건 절대 안돼…[/fs][w3][sh][b]
참아야 해…[w3] 참아앗…![/b][/sh]","[fs9]绝对不能拉在裤子里…！[/fs][w3]
[sh][b]忍住…！[w3]忍住…！[/b][/sh]"
ED1_D008,"[sh]んっ…[w3]んん…[w5][/sh]
お…[w3][wv][b][fs12]おおおおおおぅ…[/fs][/b][/wv]","[sh]Mmh…[w3]nngh…[w5][/sh]
Ooh…[w3][wv][b][fs12]ooohhh…[/fs][/b][/wv]","[sh]흣…[w3] 으응…[/sh][w5]
오… [w3][wv][b][fs12]오오오오오오…[/fs][/b][/wv]","[sh]嗯…[w3]嗯嗯…[w5][/sh]
哦…[w3][wv][b][fs12]哦哦哦哦哦哦…[/fs][/b][/wv]"
ED1_D009,[fs13][sh]んっ…[/sh][w3][wv]ふぅ…[/wv][/fs],[fs13][sh]Mmh…[/sh][w3][wv] Phew…[/wv][/fs],[fs13][b][sh]읏…[/sh][/b][w3] [wv]휴우우우…[/wv][/fs],[fs13][sh]嗯…[/sh][w3][wv]呼…[/wv][/fs]
ED2_D007,"[sh]んっ…[w3]んっ…[/sh][w3]
やだ…[w3]うんち…[w3]
[b]勝手に出てくる…[/b]","[sh]Mmh…[w3]nngh…[/sh][w3]
No…[w3] it's…[w3]
[b]coming out on its own…[/b]","[sh]읏…[w3] 으응…[/sh][w3] 안 돼…[w3] 응가…[w3]
[b]멋대로 나오고 있어…[/b]","[sh]嗯…[w3]嗯嗯…[/sh][w3]
不行…[w3]便便…[w3][b]自己出来了…[/b]"
ED2_D006,"[sh]そんな…[/sh][w3]
ここまで我慢したのに…","[sh]No way…[/sh][w3]
I held it in all the way here…",어…[w3] 어떻게 여기까지 참았는데…[w3] 이럴 순 없어…,"[sh]怎么会…[/sh][w3]
明明都忍到这里了…"
ED3_D017_3,今度からできるだけしゃがむトイレを使ってみようかな？,I should use squat toilets more often when possible ♥,다음부턴 가능하면 이런 화장실을 자주 사용해야겠다♥,以后要不要尽量用蹲厕呢？
ED8_D003_1,"しかも、[w3]
中の人もうんちじゃん…",And… [w3]she's pooping too…,"게다가,[w3] 안에 사람도 응가잖아…",而且，[w3]里面的人也在便便…
ED3_D017_2,しゃがむトイレだとうんち出やすいのかも？,Maybe squat toilets make it easier to poop?,"쭈그리고 앉는 변기라서 응가가
술술 나왔던걸까?",用蹲厕是不是更容易便便呢？
ED2_D002,[sh][fs15]あっ…[/fs][/sh],[sh][fs15]Ah…[/fs][/sh],[sh][fs15]앗…[/fs][/sh],[sh][fs15]啊…[/fs][/sh]
ED3_D017_1,それに…[w3]今日のうんちすっごく気持ちよかった…,And…[w3] today's poop felt really good…,"그리고…[w3] 오늘은 엄청 시원하게
응가했네…[w3] 변비였는데…","而且…[w3]
今天的便便感觉特别舒服…"
ED8_D003_2,"すごい音…[w3]
お腹壊してるのかな…",Those sounds… [w3]Maybe she has an upset stomach…,소리 엄청난데…[w3] 배탈난 걸까…,"动静好大…[w3]
是不是吃坏肚子了…"
ED2_D009,[fs13]んっ…[/fs][w5][sh]はっ…！[/sh],[fs13]Mmh…[/fs][w5][sh] Ah…![/sh],[fs15]읏…[/fs][w3][sh] 하아…![/sh],[fs13]嗯…[/fs][w5][sh]哈…！[/sh]
ED2_D008,"[b][sh]んっ…[w3]んんっ…[w3]
[fs13]うううううんっ…！[/fs][/sh][/b]","[b][sh]Mmh…[w3]nnnnngh…[w3]
[fs13]Nnngghhh…![/fs][/sh][/b]","[b][sh]흣…[w3] 흐으응…[w3]
[fs13]후으으으으읏…![/fs][/sh][/b]","[b][sh]嗯…[w3]嗯嗯…[w3]
[fs13]呜呜呜呜嗯…！[/fs][/sh][/b]"
ED5_D008,ねえ…[w3]誰も来てないよね…？,"Hey… [w3] no one's coming, right…?",저기…[w3] 망 잘 보고 있는거지…?,那个…[w3]真的没人过来吧…？
ED8_D006_1,"頑張ってここまで
我慢したのに…！",I held it in all the way here…!,열심히 참아서 여기까지 왔는데…,我都拼命忍到这里了…！
ED3_D008_2,もし車で漏らしたらと思うと怖いな…,It's scary to think I could've had an accident in the car…,"이걸 차에서 지렸다면…[w3]
으으…[w3] 상상만 해도 끔찍해라…",一想到要是拉在车里就觉得后怕…
ED5_D009,"ごめん…[w3]まだ…[w3]
[b]いっぱいでそう…[/b]",Sorry… [w3] I think… [w3][b]there's still a lot more coming…[/b],"미안…[w3] 아직…[w3]
응가 잔뜩 더 나올 것 같아…","对不起…[w3]还…[w3]
[b]好像还有很多要出来…[/b]"
ED8_D006_2,[b][sh][fs12]うんち漏れちゃうよ…！[/fs][/sh][/b],[b][sh][fs12]I'm gonna poop my pants…![/fs][/sh][/b],[b][sh][fs12]이러다 응가 지리겠어…![/fs][/sh][/b],[b][sh][fs12]要拉在裤子里了…！[/fs][/sh][/b]
ED3_D008_1,"こんなの我慢してたのか…[w3]
そりゃきついわけだ…",I was holding all of that in…[w3] No wonder it was so hard…,"이런걸 참고 있었던건가…[w3]
힘들만 했네…","我居然一直憋着这么多…[w3]
难怪会这么难受…"
ED5_D004,"[sh]んんっ…！[/sh][w3]もう…[w3]
[b]うんち…[sh][w3]出るっ…！[/sh][/b]",[sh]Nngh…![/sh][w3] I can't hold it… [w3][b]I'm… [sh][w3] I'm gonna poop…![/sh][/b],[sh]으읏…![/sh][w3] 응가…[w3][b][sh] 나온닷…![/sh][/b],"[sh]唔…！[/sh][w3]不行了…[w3]
[b]便便…[sh][w3]要出来了…！[/sh][/b]"
ED5_D005,"[sh]くぅっ…[w3]
[fs12][b]ううううんんっ…！[/b][/fs]","[sh]Ngh… [w3]
[fs12][b]Nnngghhhh…![/b][/fs][/sh]","[sh]크읏…[w3][fs12]
[b]흐으으으으으으응…![/b][/fs]","[sh]呜…[w3]
[fs12][b]呜呜呜呜呜唔…！[/b][/fs][/sh]"
ED5_D006,[fs15][b][sh]んっ…[/sh][/b][/fs][w3][wv]ふぅぅっ…[/wv],"[fs15][b][sh]Mmh…[/sh][/b][/fs][w3]
[wv]Phewww…[/wv]",[fs15]읏…[/fs][w3][wv] [b]프휴우우읏…[/b][/wv],[fs15][b][sh]唔…[/sh][/b][/fs][w3][wv]呼…[/wv]
ED5_D007,"[wv][fs12]はあああああ…[/fs][/wv][fs9][w3]
はあ…[w3]はあ…[/fs]","[wv][fs12]Haaahhh…[/fs][/wv][fs9][w3]
Hah… [w3] hah…[/fs]","[wv][fs12]하아아아아아…[/fs][/wv]
[fs9][w3]하아…[w3] 하아…[/fs]","[wv][fs12]哈啊啊啊啊啊…[/fs][/wv][fs9][w3]
哈啊…[w3]哈啊…[/fs]"
ED5_D001,"車停めて…！[w3]お願いっ…[w3]
[sh]早くっ…！[/sh][w3]もうっ…[w3]
[b][sh][fs11]我慢できないの…！[/fs][/sh][/b]","Pull over…! [w3] Please… [w3][sh]Hurry…![/sh][w3]
[b][sh][fs11]I can't hold it anymore…![/fs][/sh][/b]","차 세워줘…![w3] 그냥 근처 갓길
아무데나…[w3][sh] 빨리…![/sh][w3]
더는…[w3] [b][sh][fs11]못참겠어…![/fs][/sh][/b]","快停车…！[w3]拜托了…[w3][sh]快点…！[/sh][w3]
我…[w3][b][sh][fs11]真的忍不住了…！[/fs][/sh][/b]"
ED1_D012,"[fs15][wv]はああああああ…[/wv][/fs][w5]
[b][spd7]スッキリしたぁ…[/b]","[fs15][wv]Haaahhh…[/wv][/fs][w5]
[b][spd7]I feel sooo much better…[/b]","[fs15][wv]하아아아아아…[/wv][/fs][w5]
[b]시원하다아아아~…[/b]","[fs15][wv]哈啊啊啊啊啊啊…[/wv][/fs][w5]
[b][spd7]舒服多了…[/b]"
ED5_D002,"[b][fs13]ごめん！[/fs][/b][w3]
誰か来ないか見張ってて…！","[b][fs13]Sorry![/fs][/b][w3] 
Keep watch in case anyone comes…!","[b][fs13]미안![/fs][w3]
누가 오는지만 망 좀 봐줘…![/b]","[b][fs13]对不起！[/fs][/b][w3]
帮我看看有没有人过来…！"
ED1_D011,"[wv]ああああああ…[/wv][w3]
[fs13][b]いっぱい出るぅ…[/b][/fs]","[wv]Aaaahhh…[/wv][w3]
[fs13][b]So much is coming out…[/b][/fs]",[wv]아아아아아아…[/wv][w3] [b]쭉 참았던 엄청난 양의 응가가 술술 나오네…♥[/b],"[wv]啊啊啊啊啊啊…[/wv][w3]
[fs13][b]拉出来好多…[/b][/fs]"
ED4_D010,"[sh]んっ…[w3]ううんっ…[w3]
[b][fs12]ううううううんんっ…！[/fs][/b]","[sh]Mmh…[w3]nngh… [w3]
[b][fs12]Nnngghhh…![/fs][/b][/sh]","[sh]읏…[w3] 흐으응…[w3]
[b][fs12]후으으으으으응…![/fs][/b]","[sh]唔…[w3]呜唔…[w3]
[b][fs12]呜呜呜呜呜唔…！[/fs][/b][/sh]"
ED5_D003,"[fs9]ねえ…[w3]ほんとに誰も来てない？[/fs]
[w3][b]絶対！？[/b]","[fs9]Hey… [w3] no one's really coming, right?[/fs] [w3][b]You're sure!?[/b]","저기…[w3] 정말 주변에 아무도 안와?[w3]
[b]믿는다?[w3] 진짜지?[/b]","[fs9]那个…[w3]真的没人过来吧？[/fs]
[w3][b]你确定！？[/b]"
INTRO_D002,…！,…!,…!,…！
ED1_D010,[fs14][sh][wv]んんんんんん…[/wv][/sh][/fs],[fs14][sh][wv]Nngghhh…[/wv][/sh][/fs],[b][wv][fs14][sh]후우으으으응…[/sh][/fs][/wv][/b],[fs14][sh][wv]嗯嗯嗯嗯嗯嗯…[/wv][/sh][/fs]
ED3_D002,"[sh]早くっ…[w3]早くっ…[w3]
[b]うんちっ…[w3]うんち出るっ…！[/b][/sh]",[sh]Hurry…[w3] hurry…[w3] [b]I need to poop…[w3] It's coming out…![/b][/sh],"[sh]빨리…[w3] 빨리잇…[w3]
[b]응가…[w3] 응가 나온닷…![/b][/sh]","[sh]快点…[w3]快点…[w3]
[b]便便…[w3]便便要出来了…！[/b][/sh]"
ED4_D011,[sh]んっ…[w3]んっ…[/sh][w3]こんなの恥ずかしいよ…[w3]早く終わって…！,"[sh]Mmh… [w3]ngh…[/sh][w3]
This is so embarrassing…","[sh]읏…[w3] 끙…[/sh][w3] 이런 꼴로 있는거 엄청
창피해…[w3] 빨리 끝내야 하는데…!","[sh]唔…[w3]唔…[/sh][w3]这样太丢脸了…[w3]
快点结束吧…！"
INTRO_D003,[b][fs13]ご…[w3]ごめんっ！[/fs][/b],[b][fs13]S…[w3]Sorry![/fs][/b],[b][fs13]미…[w3] 미안…![/fs][/b],[b][fs13]对…[w3]对不起！[/fs][/b]
ED3_D003,[sh]んんっ…！[/sh],[sh]Nngh…![/sh],[sh]으읏…![/sh],[sh]唔…！[/sh]
ED4_D012,[fs7][sh]んっ…[w5][/sh][/fs][wv][fs12]ふうぅぅぅぅ…[/fs][/wv],[fs7][sh]Mmh… [w5][/sh][/fs][wv][fs12] Phewww…[/fs][/wv],[fs7][sh]웃…[w5][/sh][/fs][wv] [fs13]후우우우…[/fs][/wv],[fs7][sh]唔…[w5][/sh][/fs][wv][fs12]呼呜呜呜呜…[/fs][/wv]
ED4_D013,"[wv][b][fs12]はああああああ…[w3][/fs][/b][/wv]
全部出たぁ…","[wv][b][fs12]Haaahhh… [w3][/fs][/b][/wv]
It's all out…","[wv][b][fs12]하아아아아아…[w3][/fs][/b][/wv]
으…[w3] 응가…[w3] 전부 쌌다…","[wv][b][fs12]哈啊啊啊啊啊啊…[w3][/fs][/b][/wv]
全都出来了…"
